update_date,target_month,months_ahead,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
2021-10-01,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-01,2021-10,0,0.395271312384218,0.337636808827118,0.338303035061029,0.310188537401243
2021-10-04,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-04,2021-10,0,0.410207040518803,0.337636808827118,0.346791975325844,0.310188537401243
2021-10-05,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-05,2021-10,0,0.39602748607162,0.337636808827118,0.338732817472997,0.310188537401243
2021-10-06,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-06,2021-10,0,0.39602748607162,0.337636808827118,0.338732817472997,0.310188537401243
2021-10-07,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-07,2021-10,0,0.39602748607162,0.337636808827118,0.338732817472997,0.310188537401243
2021-10-08,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-08,2021-10,0,0.39602748607162,0.337636808827118,0.338732817472997,0.310188537401243
2021-10-12,2021-09,-1,0.361783214592945,0.326009763448578,0.311628621921917,0.297126849106611
2021-10-12,2021-10,0,0.39602748607162,0.337636808827118,0.338732817472997,0.310188537401243
2021-10-13,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-13,2021-10,0,0.43553546700114,0.330725553376075,0.360468454532809,0.30347817285996
2021-10-14,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-14,2021-10,0,0.43553546700114,0.330725553376075,0.360468454532809,0.30347817285996
2021-10-15,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-15,2021-10,0,0.43553546700114,0.330725553376075,0.360468454532809,0.30347817285996
2021-10-18,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-18,2021-10,0,0.43553546700114,0.330725553376075,0.360468454532809,0.30347817285996
2021-10-19,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-19,2021-10,0,0.464848579074208,0.330725553376075,0.377038085267966,0.30347817285996
2021-10-20,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-20,2021-10,0,0.464848579074208,0.330725553376075,0.377038085267966,0.30347817285996
2021-10-21,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-21,2021-10,0,0.464848579074208,0.330725553376075,0.377038085267966,0.30347817285996
2021-10-22,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-22,2021-10,0,0.464848579074208,0.330725553376075,0.377038085267966,0.30347817285996
2021-10-25,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-25,2021-10,0,0.464848579074208,0.330725553376075,0.377038085267966,0.30347817285996
2021-10-26,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-26,2021-10,0,0.493613050012219,0.330725553376075,0.393297589224657,0.30347817285996
2021-10-27,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-27,2021-10,0,0.493613050012219,0.330725553376075,0.393297589224657,0.30347817285996
2021-10-28,2021-09,-1,,,0.33070591698999,0.216602474611215
2021-10-28,2021-10,0,0.493613050012219,0.330725553376075,0.393297589224657,0.30347817285996
2021-10-29,2021-10,0,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-01,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-01,2021-11,0,0.388481798397948,0.352248602771075,0.340133474468196,0.323065287015136
2021-11-02,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-02,2021-11,0,0.522141777951743,0.352248602771075,0.416303819178274,0.323065287015136
2021-11-03,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-03,2021-11,0,0.522141777951743,0.352248602771075,0.416303819178274,0.323065287015136
2021-11-04,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-04,2021-11,0,0.522141777951743,0.352248602771075,0.416303819178274,0.323065287015136
2021-11-05,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-05,2021-11,0,0.522141777951743,0.352248602771075,0.416303819178274,0.323065287015136
2021-11-08,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-08,2021-11,0,0.522141777951743,0.352248602771075,0.416303819178274,0.323065287015136
2021-11-09,2021-10,-1,0.493613050012219,0.330725553376075,0.388545530155023,0.298618504692578
2021-11-09,2021-11,0,0.531688303923562,0.352248602771075,0.421744207366905,0.323065287015136
2021-11-10,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-10,2021-11,0,0.57119320664826,0.374625584263953,0.450504355713383,0.335058883510567
2021-11-12,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-12,2021-11,0,0.57119320664826,0.374625584263953,0.450504355713383,0.335058883510567
2021-11-15,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-15,2021-11,0,0.57119320664826,0.374625584263953,0.450504355713383,0.335058883510567
2021-11-16,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-16,2021-11,0,0.571350552348093,0.374625584263953,0.450596146835305,0.335058883510567
2021-11-17,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-17,2021-11,0,0.571350552348093,0.374625584263953,0.450596146835305,0.335058883510567
2021-11-18,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-18,2021-11,0,0.571350552348093,0.374625584263953,0.450596146835305,0.335058883510567
2021-11-19,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-19,2021-11,0,0.571350552348093,0.374625584263953,0.450596146835305,0.335058883510567
2021-11-22,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-22,2021-11,0,0.571350552348093,0.374625584263953,0.450596146835305,0.335058883510567
2021-11-23,2021-10,-1,,,0.704349120854991,0.442541662637754
2021-11-23,2021-11,0,0.570957188098509,0.374625584263953,0.4503666690305,0.335058883510567
2021-11-24,2021-11,0,0.570957188098509,0.374625584263953,0.446226921617817,0.337553224845363
2021-11-26,2021-11,0,0.570957188098509,0.374625584263953,0.445926746019676,0.337553224845363
2021-11-29,2021-11,0,0.570957188098509,0.374625584263953,0.445926746019676,0.337553224845363
2021-11-30,2021-11,0,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-01,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-01,2021-12,0,0.135092008807369,0.391334142249688,0.215716068609123,0.365901695268463
2021-12-02,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-02,2021-12,0,0.130958094815546,0.391334142249688,0.213366892085187,0.365901695268463
2021-12-03,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-03,2021-12,0,0.142489539108525,0.391334142249688,0.21991985817827,0.365901695268463
2021-12-06,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-06,2021-12,0,0.141401667005414,0.391334142249688,0.219301653829866,0.365901695268463
2021-12-07,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-07,2021-12,0,0.40389664585766,0.391334142249688,0.368469498925439,0.365901695268463
2021-12-08,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-08,2021-12,0,0.40389664585766,0.391334142249688,0.368469498925439,0.365901695268463
2021-12-09,2021-11,-1,0.56788894695175,0.374625584263953,0.444183158686704,0.337553224845363
2021-12-09,2021-12,0,0.40389664585766,0.391334142249688,0.368469498925439,0.365901695268463
2021-12-10,2021-11,-1,,,0.581605028683757,0.401279596430097
2021-12-10,2021-12,0,0.420285410429762,0.404667075043658,0.378713276235002,0.371212226233857
2021-12-13,2021-11,-1,,,0.581605028683757,0.401279596430097
2021-12-13,2021-12,0,0.420285410429762,0.404667075043658,0.378713276235002,0.371212226233857
2021-12-14,2021-11,-1,,,0.581605028683757,0.401279596430097
2021-12-14,2021-12,0,0.408317764395876,0.404667075043658,0.371839199747139,0.371212226233857
2021-12-15,2021-11,-1,,,0.581605028683757,0.401279596430097
2021-12-15,2021-12,0,0.408317764395876,0.404667075043658,0.371839199747139,0.371212226233857
2021-12-16,2021-11,-1,,,0.581605028683757,0.401279596430097
2021-12-16,2021-12,0,0.408317764395876,0.404667075043658,0.371839199747139,0.371212226233857
2021-12-17,2021-11,-1,,,0.581605028683757,0.401279596430097
